Year,District,Type,Count
2024,KASARAGOD,Domestic,"2,84,865"
2024,KASARAGOD,Foreign,"3,775"
2024,KOLLAM,Domestic,"4,88,167"
2024,KOLLAM,Foreign,"9,048"
2024,KOTTAYAM,Domestic,"6,09,752"
2024,KOTTAYAM,Foreign,"49,318"
2024,KOZHIKODE,Domestic,"13,34,089"
2024,KOZHIKODE,Foreign,"14,224"
2024,MALAPPURAM,Domestic,"8,23,026"
2024,MALAPPURAM,Foreign,"11,449"
2024,PALAKKAD,Domestic,"6,13,025"
2024,PALAKKAD,Foreign,"1,459"
2024,PATHANAMTHITTA,Domestic,"3,86,300"
2024,PATHANAMTHITTA,Foreign,735
2024,THIRUVANANTHAPURAM,Domestic,"39,21,054"
2024,THIRUVANANTHAPURAM,Foreign,"1,71,095"
2024,THRISSUR,Domestic,"27,75,175"
2024,THRISSUR,Foreign,"18,700"
2024,WAYANAD,Domestic,"12,88,135"
2024,WAYANAD,Foreign,"3,955"
2025,ALAPPUZHA,Domestic,"8,64,288"
2025,ALAPPUZHA,Foreign,"68,630"
2025,ERNAKULAM,Domestic,"44,29,891"
2025,ERNAKULAM,Foreign,"2,76,096"
2025,IDUKKI,Domestic,"46,79,800"
2025,IDUKKI,Foreign,"1,59,339"
2025,KANNUR,Domestic,"10,18,129"
2025,KANNUR,Foreign,"4,021"
2025,KASARAGOD,Domestic,"3,13,609"
2025,KASARAGOD,Foreign,"4,396"
2025,KOLLAM,Domestic,"5,38,956"
2025,KOLLAM,Foreign,"11,416"
2025,KOTTAYAM,Domestic,"7,04,822"
2025,KOTTAYAM,Foreign,"67,154"
2025,KOZHIKODE,Domestic,"14,69,253"
2025,KOZHIKODE,Foreign,"20,104"
2025,MALAPPURAM,Domestic,"9,33,288"
2025,MALAPPURAM,Foreign,"12,215"
2025,PALAKKAD,Domestic,"6,91,851"
2025,PALAKKAD,Foreign,"1,776"
2025,PATHANAMTHITTA,Domestic,"4,50,227"
2025,PATHANAMTHITTA,Foreign,798
2025,THIRUVANANTHAPURAM,Domestic,"43,75,846"
2025,THIRUVANANTHAPURAM,Foreign,"1,66,429"
2025,THRISSUR,Domestic,"31,14,696"
2025,THRISSUR,Foreign,"24,201"
2025,WAYANAD,Domestic,"14,73,710"
2025,WAYANAD,Foreign,"5,424"
